"Province.State","Country.Region","Lat","Long","confirmed","deaths","date","confirmed_new","deaths_new","hasErrors","hasParent","country_code","country_code3","territory_code"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-01-22,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-01-23,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-01-24,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-01-25,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-01-26,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-01-27,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-01-28,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-01-29,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-01-30,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-01-31,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-02-01,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-02-02,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-02-03,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-02-04,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-02-05,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-02-06,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-02-07,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-02-08,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-02-09,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-02-10,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-02-11,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-02-12,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-02-13,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-02-14,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-02-15,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-02-16,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-02-17,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-02-18,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-02-19,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-02-20,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-02-21,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-02-22,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-02-23,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-02-24,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-02-25,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-02-26,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-02-27,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-02-28,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-02-29,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-03-01,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-03-02,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-03-03,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-03-04,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-03-05,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-03-06,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-03-07,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-03-08,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-03-09,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-03-10,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-03-11,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-03-12,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-03-13,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-03-14,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-03-15,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-03-16,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-03-17,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-03-18,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-03-19,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-03-20,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-03-21,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-03-22,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-03-23,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-03-24,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-03-25,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-03-26,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-03-27,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-03-28,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,0,0,2020-03-29,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,2,0,2020-03-30,2,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,2,1,2020-03-31,0,1,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,3,1,2020-04-01,1,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,3,1,2020-04-02,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,3,1,2020-04-03,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,3,1,2020-04-04,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,3,1,2020-04-05,0,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,5,1,2020-04-06,2,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,12,1,2020-04-07,7,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,14,1,2020-04-08,2,0,FALSE,TRUE,"RU","RUS","RU-VLA"
"Vladimir oblast","Russia",55.9042,40.8989,38,1,2020-04-09,24,0,FALSE,TRUE,"RU","RUS","RU-VLA"
